location,day, so2,co,o3,no2,pm10,pm25
종로구,2025-01-05,.002,.6,.012,.036,35,27
종로구,2025-01-06,.002,.6,.03,.02,58,45
종로구,2025-01-07,.002,.4,.029,.013,26,16
종로구,2025-01-08,.002,.4,.025,.018,28,18
종로구,2025-01-09,.002,.3,.032,.008,27,10
종로구,2025-01-10,.002,.4,.019,.024,22,15
종로구,2025-01-11,.002,.5,.014,.032,29,24
종로구,2025-01-12,.002,.6,.014,.034,37,32
종로구,2025-01-13,.003,.8,.007,.046,59,48
종로구,2025-01-14,.004,.7,.016,.035,63,50
종로구,2025-01-15,.003,.4,.025,.012,31,13
종로구,2025-01-16,.003,.5,.013,.028,33,21
종로구,2025-01-17,.003,.7,.011,.034,54,39
종로구,2025-01-18,.004,.8,.008,.049,46,32
종로구,2025-01-19,.004,.7,.013,.043,49,36
종로구,2025-01-20,.004,.9,.016,.043,100,81
종로구,2025-01-21,.004,1.2,.006,.061,130,112
종로구,2025-01-22,.005,.8,.019,.04,87,72
종로구,2025-01-23,.004,.7,.015,.041,51,39
종로구,2025-01-24,.004,.7,.012,.043,44,32
종로구,2025-01-25,.003,.4,.025,.024,20,15
종로구,2025-01-26,.002,.3,.034,.015,11,8
종로구,2025-01-27,.002,.3,.033,.01,48,23
종로구,2025-01-28,.002,.4,.036,.007,34,25
종로구,2025-01-29,.002,.3,.036,.007,30,24
종로구,2025-01-30,.002,.4,.03,.016,20,16
종로구,2025-01-31,.002,.5,.01,.038,34,27
종로구,2025-02-01,.002,.7,.012,.036,47,41
종로구,2025-02-02,.003,.5,.024,.025,39,30
종로구,2025-02-03,.002,.4,.039,.009,29,21
종로구,2025-02-04,.002,.3,.033,.01,19,13
종로구,2025-02-05,.002,.3,.033,.01,16,11
종로구,2025-02-06,.002,.5,.021,.026,22,15
종로구,2025-02-07,.002,.4,.032,.014,30,16
종로구,2025-02-08,.002,.3,.032,.012,25,13
종로구,2025-02-09,.002,.4,.029,.018,25,17
종로구,2025-02-10,.002,.5,.025,.026,26,20
종로구,2025-02-11,.003,.7,.013,.048,47,37
종로구,2025-02-12,.003,.6,.016,.04,45,34
종로구,2025-02-13,.003,.4,.025,.024,32,12
종로구,2025-02-14,.004,.8,.015,.045,72,40
종로구,2025-02-15,.003,.7,.02,.038,71,49
종로구,2025-02-16,.003,.6,.029,.029,73,53
종로구,2025-02-17,.003,.3,.035,.012,36,11
종로구,2025-02-18,.002,.3,.033,.012,26,12
종로구,2025-02-19,.002,.4,.032,.013,28,14
종로구,2025-02-20,.002,.4,.03,.015,27,16
종로구,2025-02-21,.002,.4,.033,.014,31,19
종로구,2025-02-22,.002,.4,.035,.013,32,21
종로구,2025-02-23,.002,.4,.038,.009,33,18
종로구,2025-02-24,.003,.4,.031,.02,32,19
종로구,2025-02-25,.003,.5,.025,.031,33,19
종로구,2025-02-26,.003,.5,.033,.024,68,35
종로구,2025-02-27,.004,.6,.021,.044,41,16
종로구,2025-02-28,.004,.8,.016,.055,52,37
종로구,2025-03-01,.004,.7,.015,.047,68,53
종로구,2025-03-02,.003,.5,.032,.025,46,33
종로구,2025-03-03,.002,.2,.045,.008,12,5
종로구,2025-03-04,.002,.3,.04,.012,8,4
종로구,2025-03-05,.002,.3,.034,.018,7,4
종로구,2025-03-06,.003,.5,.035,.022,46,33
종로구,2025-03-07,.004,.6,.037,.034,75,57
종로구,2025-03-08,.003,.5,.04,.026,56,44
종로구,2025-03-09,.003,.5,.037,.025,52,40
종로구,2025-03-10,.003,.6,.038,.031,72,59
종로구,2025-03-11,.003,.6,.033,.037,62,49
종로구,2025-03-12,.003,.4,.035,.029,46,30
종로구,2025-03-13,.003,.5,.028,.025,81,31
종로구,2025-03-14,.003,.5,.028,.03,59,23
종로구,2025-03-15,.003,.3,.043,.013,37,15
종로구,2025-03-16,.002,.3,.043,.009,37,23
종로구,2025-03-17,.003,.3,.044,.013,39,25
종로구,2025-03-18,.002,.4,.045,.013,31,24
종로구,2025-03-19,.002,.4,.044,.017,47,37
종로구,2025-03-20,.003,.5,.047,.022,59,41
종로구,2025-03-21,.003,.5,.054,.023,86,54
종로구,2025-03-22,.004,.6,.043,.029,82,51
종로구,2025-03-23,.004,.6,.052,.025,85,51
종로구,2025-03-24,.004,.6,.053,.026,94,53
종로구,2025-03-25,.003,.5,.054,.018,149,64
종로구,2025-03-26,.004,.6,.031,.035,117,27
종로구,2025-03-27,.003,.4,.047,.015,65,27
종로구,2025-03-28,.002,.3,.039,.01,42,22
종로구,2025-03-29,.002,.3,.041,.011,24,11
종로구,2025-03-30,.002,.3,.045,.01,24,11
종로구,2025-03-31,.003,.4,.04,.024,36,19
종로구,2025-04-01,.003,.5,.045,.031,66,37
종로구,2025-04-02,.003,.5,.042,.034,53,33
종로구,2025-04-03,.002,.4,.044,.024,43,29
종로구,2025-04-04,.003,.4,.045,.027,46,32
종로구,2025-04-05,.002,.4,.039,.02,28,17
종로구,2025-04-06,.002,.4,.048,.015,33,18
종로구,2025-04-07,.003,.5,.055,.022,56,28
종로구,2025-04-08,.003,.4,.059,.018,66,29
종로구,2025-04-09,.003,.5,.035,.032,49,27
종로구,2025-04-10,.003,.5,.044,.02,52,35
종로구,2025-04-11,.003,.6,.041,.031,60,40
종로구,2025-04-12,.003,.5,.043,.025,40,26
